cityname,lat,long,temp,Humidity,Cloudiness,Wind_Speed,Country,Date
belyy yar,53.6,91.39,60.8,82,73,8.95,RU,1592503105
kawardha,22.02,81.25,84.88,56,80,10.58,IN,1592503106
bandarbeyla,9.49,50.81,81.5,70,64,31.32,SO,1592502703
winnemucca,40.97,-117.74,66.2,29,1,17.22,US,1592503106
leningradskiy,69.38,178.42,44.01,62,83,4.72,RU,1592502912
poshekhonye,58.5,39.14,65.98,86,16,5.7,RU,1592503106
katsuura,35.13,140.3,66.99,93,100,9.53,JP,1592502750
mataura,-46.19,168.86,39.0,83,0,3.0,NZ,1592502686
portland,45.52,-122.68,66.0,63,75,8.05,US,1592502701
nikolskoye,59.7,30.79,68.0,82,75,6.71,RU,1592503107
ushuaia,-54.8,-68.3,33.8,80,8,7.09,AR,1592502588
novyy urengoy,66.08,76.63,44.02,59,82,10.98,RU,1592503107
shaunavon,49.65,-108.42,50.49,66,94,16.2,CA,1592503108
eyl,7.98,49.82,82.71,64,39,25.32,SO,1592502942
vaini,-21.2,-175.2,69.8,83,20,8.05,TO,1592503108
bethel,41.37,-73.41,80.01,69,40,10.29,US,1592503039
atuona,-9.8,-139.03,79.48,78,38,12.06,PF,1592502766
chokurdakh,70.63,147.92,73.13,44,45,8.57,RU,1592502911
am timan,11.03,20.28,82.31,60,65,14.9,TD,1592503109
codrington,-38.27,141.97,50.18,83,100,12.84,AU,1592503109
hambantota,6.12,81.12,81.79,83,88,15.43,LK,1592503109
saint-ambroise,48.55,-71.33,95.0,26,20,10.29,CA,1592503109
mount gambier,-37.83,140.77,50.0,76,100,18.34,AU,1592503109
kiruna,67.86,20.23,62.6,48,0,18.34,SE,1592503109
hobyo,5.35,48.53,79.79,72,42,26.75,SO,1592503109
kiama,-34.68,150.87,46.99,86,6,1.01,AU,1592503110
cidreira,-30.18,-50.21,73.74,66,81,8.93,BR,1592502590
georgetown,5.41,100.34,84.2,79,20,3.36,MY,1592503110
butaritari,3.07,172.79,82.98,62,91,4.05,KI,1592502790
ploemeur,47.73,-3.43,64.0,72,40,17.22,FR,1592503110
dikson,73.51,80.55,33.26,93,58,16.49,RU,1592502701
blyznyuky,48.86,36.56,66.45,79,96,8.37,UA,1592503111
barrow,71.29,-156.79,41.0,75,1,8.05,US,1592502685
bowen,-20.02,148.23,70.0,93,90,10.29,AU,1592503111
lorengau,-2.02,147.27,83.17,75,41,8.52,PG,1592503111
mersing,2.43,103.84,75.2,100,99,2.24,MY,1592503111
maniitsoq,65.42,-52.9,40.35,78,12,12.28,GL,1592503111
pawayan,28.07,80.1,85.23,63,76,9.6,IN,1592503111
mar del plata,-38.0,-57.56,57.99,87,90,14.99,AR,1592503112
kaeo,-35.1,173.78,46.99,3,2,1.99,NZ,1592502911
kailua,21.4,-157.74,80.6,74,90,16.11,US,1592503112
hithadhoo,-0.6,73.08,84.63,77,94,11.39,MV,1592502796
belaya gora,68.53,146.42,74.41,38,12,6.64,RU,1592503112
hobart,-42.88,147.33,41.0,86,100,8.05,AU,1592502472
dicabisagan,17.08,122.42,80.15,83,33,2.51,PH,1592503113
rosario,-32.95,-60.64,68.0,63,16,6.93,AR,1592502986
sitka,57.05,-135.33,51.8,87,90,10.29,US,1592502783
inta,66.03,60.17,43.29,62,98,8.34,RU,1592503113
tuktoyaktuk,69.45,-133.04,44.6,93,90,6.93,CA,1592503113
upernavik,72.79,-56.15,36.12,82,0,9.89,GL,1592503114
imeni poliny osipenko,52.42,136.49,41.94,96,100,8.81,RU,1592503114
khakhea,-24.69,23.49,52.92,44,0,7.07,BW,1592503114
westport,41.14,-73.36,79.0,78,40,6.93,US,1592502963
bahia honda,22.9,-83.16,85.03,73,99,1.59,CU,1592503114
vao,-22.67,167.48,71.78,77,95,14.99,NC,1592503114
vilyuysk,63.76,121.62,56.89,96,69,3.31,RU,1592503114
poum,-20.23,164.02,74.26,76,98,16.55,NC,1592503115
cravo norte,6.3,-70.2,76.77,89,100,7.83,CO,1592503115
sao joao batista,-27.28,-48.85,75.99,78,99,3.0,BR,1592503115
norman wells,65.28,-126.83,71.6,49,75,10.29,CA,1592502780
kavieng,-2.57,150.8,82.15,75,2,3.96,PG,1592503115
sassandra,4.95,-6.08,76.42,89,99,6.11,CI,1592503116
east london,-33.02,27.91,65.19,60,0,13.49,ZA,1592502907
alofi,-19.06,-169.92,71.6,83,48,10.29,NU,1592503116
kargasok,59.06,80.86,45.18,85,100,13.82,RU,1592503116
bluff,-46.6,168.33,39.0,83,1,3.0,NZ,1592502752
faanui,-16.48,-151.75,79.65,81,63,5.14,PF,1592502733
kibala,9.11,18.35,86.0,66,20,5.82,TD,1592503117
sandovo,58.46,36.41,68.68,91,77,5.23,RU,1592503117
verkhoyansk,67.54,133.38,67.32,43,4,2.01,RU,1592503117
nome,64.5,-165.41,61.0,63,1,9.17,US,1592502908
ixtapa,20.7,-105.2,87.01,54,5,6.93,MX,1592503117
port lincoln,-34.73,135.87,58.86,46,13,23.24,AU,1592503117
haimen,23.19,116.61,80.6,94,87,2.24,CN,1592503118
airai,-8.93,125.41,57.69,100,91,4.16,TL,1592502714
yellowknife,62.46,-114.35,61.0,71,20,14.99,CA,1592502566
meulaboh,4.14,96.13,78.78,83,78,4.88,ID,1592503118
biltine,14.53,20.92,91.35,20,26,7.02,TD,1592503118
pisco,-13.7,-76.22,64.99,77,90,2.24,PE,1592502941
lufkin,31.34,-94.73,93.0,52,20,11.41,US,1592503118
sasina,44.8,16.74,75.2,57,20,12.75,BA,1592503119
palmer,42.16,-72.33,86.0,45,40,4.7,US,1592503119
lavrentiya,65.58,-171.0,48.56,64,8,1.12,RU,1592502912
alyangula,-13.85,136.42,68.0,100,1,9.98,AU,1592503119
vardo,70.37,31.11,46.4,75,40,20.8,NO,1592503119
ponta do sol,32.67,-17.1,73.4,64,20,11.41,PT,1592502741
port hardy,50.7,-127.42,55.4,87,90,4.7,CA,1592503120
gornopravdinsk,60.05,69.9,41.34,73,59,5.41,RU,1592503120
ostrovnoy,68.05,39.51,57.43,67,93,3.94,RU,1592503120
gorontalo,0.54,123.06,75.18,88,100,2.01,ID,1592503120
marawi,8.0,124.29,73.99,96,98,4.0,PH,1592503120
khatanga,71.97,102.5,52.97,56,83,11.92,RU,1592502781
ilulissat,69.22,-51.1,35.6,64,90,6.93,GL,1592503121
lata,40.16,-8.33,69.01,54,0,8.99,PT,1592503121
penzance,50.12,-5.54,60.01,87,100,14.99,GB,1592503121
oranjemund,-28.55,16.43,70.25,24,0,6.69,NA,1592503121
husavik,66.04,-17.34,59.0,51,4,6.93,IS,1592503121
port macquarie,-31.43,152.92,53.01,97,96,3.58,AU,1592502688
northam,51.03,-4.22,57.99,99,100,8.99,GB,1592503122
castro,-24.79,-50.01,67.44,68,92,11.18,BR,1592502529
guerrero negro,27.98,-114.06,70.52,56,6,13.87,MX,1592503122
padang,-0.95,100.35,78.64,77,100,4.18,ID,1592502744
kloulklubed,7.04,134.26,77.0,94,75,11.12,PW,1592503122
provideniya,64.38,-173.3,56.66,56,11,3.36,RU,1592503122
aswan,24.09,32.91,92.07,11,21,15.79,EG,1592502825
kouango,4.99,19.96,74.66,90,90,2.66,CF,1592503123
hameenlinna,61.0,24.46,75.0,60,0,5.77,FI,1592503123
krasnoselkup,65.7,82.47,46.8,56,99,14.36,RU,1592503123
ada,43.42,-116.13,66.0,45,1,9.17,US,1592503123
bengkulu,-3.8,102.27,76.41,89,100,5.14,ID,1592503123
novosheshminsk,55.07,51.23,54.16,78,0,5.26,RU,1592503124
sukhobezvodnoye,57.05,44.89,56.89,76,0,5.91,RU,1592503124
jalu,29.03,21.55,85.78,20,0,5.88,LY,1592502930
alugan,12.22,125.48,79.3,82,100,9.46,PH,1592503124
gat,31.61,34.76,77.0,67,0,7.27,IL,1592502901
avarua,-21.21,-159.78,69.8,83,32,6.93,CK,1592502720
puerto escondido,15.85,-97.07,87.8,70,75,6.93,MX,1592502865
hermanus,-34.42,19.23,54.0,71,0,5.77,ZA,1592502775
pangnirtung,66.15,-65.71,41.0,75,75,19.46,CA,1592502966
rincon,32.3,-81.24,86.0,58,75,3.36,US,1592503125
port elizabeth,-33.92,25.57,59.0,77,0,6.93,ZA,1592502675
cabo san lucas,22.89,-109.91,93.2,58,40,3.36,MX,1592502758
ballina,-28.87,153.57,59.0,82,75,9.17,AU,1592503125
wanning,18.8,110.4,81.55,89,2,9.95,CN,1592503126
kaitangata,-46.28,169.85,39.54,83,25,8.01,NZ,1592503126
yuyao,30.05,121.15,75.0,88,75,6.71,CN,1592503126
sechura,-5.56,-80.82,75.52,56,5,13.6,PE,1592503126
grand gaube,-20.01,57.66,70.0,75,100,7.0,MU,1592503126
montego bay,18.47,-77.92,86.0,79,20,17.22,JM,1592503126
taoudenni,22.68,-3.98,112.87,6,17,11.32,ML,1592502925
chimay,50.05,4.32,68.0,72,37,2.24,BE,1592503127
brownsville,25.9,-97.5,91.4,55,75,17.22,US,1592503077
busselton,-33.65,115.33,44.01,96,18,4.99,AU,1592502767
lancaster,40.25,-76.25,78.01,73,75,10.29,US,1592503127
saint-georges,12.06,-61.75,86.0,74,40,13.87,GD,1592503127
suntar,62.14,117.63,47.16,97,54,3.24,RU,1592503128
san rafael,-34.62,-68.33,60.89,32,64,14.52,AR,1592503128
bredasdorp,-34.53,20.04,53.6,87,0,4.97,ZA,1592503128
rudbar,30.15,62.6,90.59,12,0,12.82,AF,1592503128
kahului,20.89,-156.47,78.8,65,20,11.41,US,1592502621
malakal,9.53,31.66,69.93,92,100,0.11,SS,1592503128
hilo,19.73,-155.09,73.4,78,90,5.82,US,1592502676
saint-leu,-21.15,55.28,69.8,73,75,18.34,RE,1592503129
goderich,43.75,-81.72,82.99,64,7,5.7,CA,1592503129
novobirilyussy,56.95,90.67,58.59,97,100,7.07,RU,1592503129
bambous virieux,-20.34,57.76,71.6,68,75,12.75,MU,1592503129
tuatapere,-46.13,167.68,39.0,83,13,3.0,NZ,1592502716
pochutla,15.74,-96.47,82.4,78,90,5.77,MX,1592503130
clyde river,70.47,-68.59,33.8,90,75,5.82,CA,1592503130
lebu,-37.62,-73.65,52.27,94,100,14.47,CL,1592502745
beidao,34.57,105.89,65.25,51,19,3.8,CN,1592502970
batemans bay,-35.72,150.18,37.0,100,7,4.99,AU,1592503130
vyshkov,52.48,31.69,75.2,69,75,4.47,RU,1592503130
baculin,7.45,126.58,77.9,79,99,3.87,PH,1592503130
jacareacanga,-6.22,-57.75,92.35,42,70,4.29,BR,1592503131
mattru,7.62,-11.83,78.53,92,91,4.52,SL,1592503131
lysyye gory,51.55,44.84,66.51,90,27,9.93,RU,1592503131
lushoto,-4.78,38.28,54.91,100,61,4.09,TZ,1592503131
kenai,60.55,-151.26,59.0,66,90,2.77,US,1592502935
srednekolymsk,67.45,153.68,73.98,41,61,3.58,RU,1592502940
yumen,40.28,97.2,71.76,20,62,2.66,CN,1592503131
cayenne,4.93,-52.33,78.8,94,75,9.98,GF,1592503132
xucheng,20.35,110.13,80.6,94,12,4.47,CN,1592503132
luan,46.36,6.98,66.2,52,40,16.11,CH,1592503132
esperance,-33.87,121.9,48.2,87,40,13.87,AU,1592503132
carlos chagas,-17.7,-40.77,78.42,56,59,8.66,BR,1592503132
barabai,-2.58,115.38,75.27,94,99,0.76,ID,1592503132
selam,11.65,78.17,80.4,66,100,1.79,IN,1592503133
curuguaty,-24.47,-55.69,83.98,48,62,8.01,PY,1592503133
luancheng,37.88,114.65,73.4,56,16,6.71,CN,1592503133
iquique,-20.22,-70.14,62.6,72,75,8.05,CL,1592503075
touros,-5.2,-35.46,78.8,88,75,11.41,BR,1592503133
severo-yeniseyskiy,60.37,93.04,54.41,68,57,6.64,RU,1592503133
chumikan,54.72,135.31,37.96,95,100,4.52,RU,1592503134
smithers,54.78,-127.17,60.8,63,90,6.93,CA,1592502836
aklavik,68.22,-135.01,51.8,81,75,3.36,CA,1592503134
fort wellington,6.4,-57.6,83.73,76,55,7.61,GY,1592503134
chuy,-33.7,-53.46,67.53,67,40,15.14,UY,1592502712
deputatskiy,69.3,139.9,64.58,64,21,1.05,RU,1592503134
torbay,47.67,-52.73,69.01,63,90,16.11,CA,1592502788
auki,-8.77,160.7,77.92,85,1,2.68,SB,1592502928
bongandanga,1.5,21.05,77.49,57,49,1.01,CD,1592503135
beringovskiy,63.05,179.32,48.11,58,6,0.4,RU,1592502965
kayseri,38.74,35.5,62.6,72,40,10.29,TR,1592503135
atar,20.52,-13.05,105.58,13,0,16.89,MR,1592503135
fortuna,40.6,-124.16,66.0,77,20,6.93,US,1592502710
mehamn,71.04,27.85,44.6,87,75,12.75,NO,1592502708
baruun-urt,46.68,113.28,64.76,64,62,8.72,MN,1592503136
geraldton,-28.77,114.6,51.8,81,10,5.82,AU,1592503136
aitape,-3.14,142.35,78.24,83,11,3.6,PG,1592503136
mazatlan,23.22,-106.42,89.6,46,5,4.7,MX,1592503061
katherine,-14.47,132.27,66.2,68,25,4.7,AU,1592502715
iqaluit,63.75,-68.51,42.8,56,90,5.82,CA,1592503136
kyren,51.68,102.14,57.18,77,65,1.5,RU,1592503137
souillac,-20.52,57.52,71.6,68,75,12.75,MU,1592503137
ribeira grande,38.52,-28.7,66.2,72,75,11.41,PT,1592502762
sirjan,29.45,55.68,84.11,15,24,12.06,IR,1592503137
hovd,48.01,91.64,63.9,28,50,5.88,MN,1592503137
mahebourg,-20.41,57.7,71.6,68,75,12.75,MU,1592503137
arraial do cabo,-22.97,-42.03,75.2,69,0,19.46,BR,1592502721
troy,42.61,-83.15,87.01,35,1,6.93,US,1592503138
mosquera,4.71,-74.23,62.6,67,75,5.82,CO,1592503138
verkh-usugli,52.7,115.17,49.59,64,42,2.35,RU,1592503138
itarema,-2.92,-39.92,84.22,66,15,13.4,BR,1592503138
lerwick,60.15,-1.15,53.6,93,19,11.41,GB,1592503138
kamariotissa,40.48,25.47,78.8,83,20,11.41,GR,1592503138
sao joao da barra,-21.64,-41.05,78.8,50,40,6.93,BR,1592502735
tasiilaq,65.61,-37.64,42.8,75,100,44.96,GL,1592502924
alta floresta,-9.88,-56.09,88.86,44,0,4.85,BR,1592503139
morro bay,35.37,-120.85,80.01,80,0,7.0,US,1592503139
banda aceh,5.56,95.32,80.65,76,76,6.06,ID,1592502902
tiksi,71.69,128.87,52.95,71,99,3.13,RU,1592503139
hasaki,35.73,140.83,66.0,93,75,6.93,JP,1592503139
klaksvik,62.23,-6.59,50.0,93,97,8.05,FO,1592503140
matagami,49.75,-77.63,86.0,33,1,13.87,CA,1592502915
coihueco,-36.62,-71.83,50.0,100,90,21.92,CL,1592503140
westerland,54.91,8.3,71.6,53,98,8.05,DE,1592503140
rawson,-43.3,-65.1,60.01,42,57,23.78,AR,1592503140
comodoro rivadavia,-45.87,-67.5,55.4,43,100,20.8,AR,1592502874
thinadhoo,0.53,72.93,84.49,76,90,9.1,MV,1592503140
naze,28.37,129.48,78.8,100,96,11.41,JP,1592502716
garden city,42.33,-83.33,88.0,35,40,5.82,US,1592503141
puerto madryn,-42.77,-65.04,60.03,42,57,23.98,AR,1592503141
asyut,27.18,31.18,89.6,27,0,12.75,EG,1592502945
ancud,-41.87,-73.82,55.99,87,75,11.41,CL,1592502923
komsomolskiy,40.43,71.72,71.6,43,72,4.7,UZ,1592503141
vestmannaeyjar,63.44,-20.27,50.0,76,75,20.8,IS,1592503141
najran,17.49,44.13,95.0,11,40,6.93,SA,1592503141
mercedes,-34.65,-59.43,66.0,68,40,3.0,AR,1592503142
isangel,-19.55,169.27,72.18,82,4,12.06,VU,1592502926
bardiyah,31.76,25.09,73.31,64,0,18.92,LY,1592503142
zhongshu,24.52,103.77,65.21,94,100,2.93,CN,1592503143
nova olimpia,-14.8,-57.29,91.51,33,50,5.17,BR,1592503143
bathsheba,13.22,-59.52,87.8,70,40,19.46,BB,1592503143
dunedin,-45.87,170.5,43.0,81,73,4.0,NZ,1592502946
constitucion,-35.33,-72.42,55.72,83,100,22.68,CL,1592503143
bogoslovka,53.21,44.8,73.99,63,0,9.64,RU,1592503143
sibolga,1.74,98.78,76.39,76,98,3.74,ID,1592503144
ponta delgada,37.73,-25.67,66.2,77,75,13.87,PT,1592502966
gizo,-8.1,156.84,81.7,77,2,4.61,SB,1592503144
kununurra,-15.77,128.73,62.6,37,0,4.7,AU,1592503144
boa vista,2.82,-60.67,82.4,74,75,4.7,BR,1592503125
locri,38.24,16.26,75.0,20,3,3.18,IT,1592503144
mayo,38.89,-76.51,79.0,78,1,5.82,US,1592503144
pangody,65.85,74.49,39.47,71,18,7.85,RU,1592503145
lumeje,-11.55,20.78,62.1,44,0,5.66,AO,1592503145
ikom,5.97,8.71,74.05,96,100,1.16,NG,1592503145
dwarka,22.24,68.97,85.84,80,0,18.5,IN,1592502940
port-gentil,-0.72,8.78,77.0,83,75,10.29,GA,1592502947
durango,24.83,-104.83,80.65,27,52,5.32,MX,1592502939
shimabara,32.78,130.37,78.01,88,100,17.0,JP,1592503145
zeya,53.75,127.27,55.78,64,86,2.66,RU,1592502916
rodeo,38.03,-122.27,86.0,22,1,1.88,US,1592503146
talnakh,69.49,88.4,44.6,70,94,8.95,RU,1592503146
livadiya,42.87,132.68,55.29,87,97,3.8,RU,1592503144
tual,-5.67,132.75,80.8,84,73,21.83,ID,1592502977
dhidhdhoo,6.88,73.1,84.31,78,100,11.05,MV,1592503146
jining,35.41,116.58,62.15,89,24,1.92,CN,1592503146
porbandar,21.64,69.61,85.71,80,4,15.7,IN,1592503147
sangerhausen,51.47,11.3,61.0,92,100,4.0,DE,1592503147
manavalakurichi,8.13,77.3,84.2,79,20,4.7,IN,1592503147
hyeres,43.12,6.12,73.99,49,37,13.87,FR,1592503147
chicama,-7.84,-79.15,73.72,58,54,10.71,PE,1592503147
itoman,26.12,127.67,82.4,94,20,14.99,JP,1592503147
carnarvon,-24.87,113.63,60.8,72,0,12.75,AU,1592502911
weligama,5.97,80.42,80.58,90,91,6.67,LK,1592503148
masuguru,-11.37,38.42,76.71,51,87,5.3,TZ,1592503148
payo,-3.75,103.64,73.31,93,100,2.28,ID,1592503148
coruripe,-10.13,-36.18,79.12,81,18,14.72,BR,1592503148
lydenburg,-25.1,30.46,43.0,74,39,3.2,ZA,1592503148
margate,51.38,1.39,68.0,70,4,1.99,GB,1592502755
kohtla-jarve,59.4,27.27,66.38,89,22,4.54,EE,1592503148
burns lake,54.23,-125.75,61.59,51,100,4.5,CA,1592503149
hami,42.8,93.45,83.8,23,8,18.52,CN,1592503149
lagoa,39.05,-27.98,65.12,88,26,14.41,PT,1592503149
riyadh,24.69,46.72,100.4,8,76,12.75,SA,1592503021
pauini,-7.71,-66.98,89.15,51,90,1.83,BR,1592503149
luderitz,-26.65,15.16,80.6,19,0,2.24,NA,1592503149
coquimbo,-29.95,-71.34,60.8,67,100,9.17,CL,1592503150
port hedland,-20.32,118.57,62.6,100,90,4.7,AU,1592502723
mbekenyera,-10.0,38.98,70.12,68,68,5.1,TZ,1592503150
qena,26.16,32.72,91.4,29,0,6.93,EG,1592503150
jaisinghnagar,23.7,81.38,82.6,65,95,10.8,IN,1592503150
kieta,-6.22,155.63,78.96,81,1,3.69,PG,1592503150
el alto,-4.27,-81.21,75.2,69,11,20.8,PE,1592503151
ust-ilimsk,58.0,102.66,50.86,77,0,6.08,RU,1592503151
harare,-17.83,31.05,53.6,87,75,10.29,ZW,1592503151
clinton,42.59,-82.92,87.01,51,40,4.7,US,1592503151
tampin,2.47,102.23,77.0,94,20,1.39,MY,1592503151
capreol,46.71,-80.92,82.0,34,5,6.93,CA,1592503151
itaituba,-4.28,-55.98,93.56,41,82,4.25,BR,1592502885
kuusamo,65.97,29.18,60.8,77,90,8.05,FI,1592503152
korla,41.76,86.15,84.0,45,40,1.01,CN,1592503152
honiara,-9.43,159.95,73.4,94,20,3.36,SB,1592503152
gonen,40.1,27.65,73.4,73,40,4.7,TR,1592503152
florianopolis,-27.61,-48.5,75.99,69,20,14.99,BR,1592502958
andra,62.51,65.89,41.34,68,47,7.14,RU,1592503152
atagay,55.1,99.39,53.8,67,36,4.83,RU,1592503153
elbistan,38.21,37.2,67.62,56,3,7.52,TR,1592503153
louis trichardt,-23.04,29.9,50.9,88,53,6.42,ZA,1592503153
bumba,2.18,22.47,77.49,64,75,0.6,CD,1592503153
san carlos de bariloche,-41.15,-71.31,42.8,81,75,13.87,AR,1592503153
biak,-0.91,122.88,77.27,82,95,7.05,ID,1592503153
goianesia,-15.32,-49.12,81.64,44,7,8.81,BR,1592503154
vyartsilya,62.18,30.69,66.13,85,99,8.37,RU,1592503154
kalmunai,7.42,81.82,84.34,72,79,6.04,LK,1592503154
cherskiy,68.75,161.3,65.26,41,7,7.74,RU,1592503154
playa del carmen,20.63,-87.08,78.8,94,90,3.36,MX,1592502961
channel-port aux basques,47.57,-59.14,57.58,80,85,14.34,CA,1592503070
guilin,25.28,110.29,78.8,100,75,2.62,CN,1592503155
luba,3.46,8.55,80.6,100,75,3.36,GQ,1592503155
kholodnyy,62.72,147.95,57.58,59,30,3.38,RU,1592503155
farap,39.17,63.61,82.4,20,0,6.93,TM,1592503155
hohhot,40.81,111.65,66.2,55,0,8.95,CN,1592503155
ust-kuyga,70.02,135.6,65.01,66,5,2.1,RU,1592503155
shirokiy,49.76,129.52,50.25,91,22,5.68,RU,1592503155
butembo,0.15,29.28,58.37,95,61,2.04,CD,1592503156
havre-saint-pierre,50.23,-63.6,75.2,60,1,10.29,CA,1592503156
murray bridge,-35.12,139.27,55.0,69,0,4.0,AU,1592503156
nanortalik,60.14,-45.24,40.42,78,62,7.45,GL,1592503156
dinguiraye,11.3,-10.72,88.41,54,60,4.85,GN,1592503156
te anau,-45.42,167.72,32.05,96,37,1.23,NZ,1592503156
quelimane,-17.88,36.89,69.8,88,40,9.17,MZ,1592503157
mnogovershinnyy,53.94,139.92,35.94,99,100,3.0,RU,1592503157
krutinka,56.01,71.51,45.05,80,15,9.13,RU,1592503157
loudi,27.73,111.99,70.9,92,79,1.23,CN,1592503157
peniche,39.36,-9.38,70.0,70,0,11.99,PT,1592503157
saint-augustin,51.23,-58.65,58.78,74,100,4.54,CA,1592503157
tongliao,43.61,122.27,65.03,50,30,6.49,CN,1592503158
tabas,33.6,56.92,96.8,11,0,4.7,IR,1592503158
paamiut,61.99,-49.67,38.14,81,82,10.04,GL,1592503158
baykit,61.67,96.37,54.79,62,63,3.51,RU,1592503158
kaya,13.09,-1.08,92.61,40,78,10.69,BF,1592503158
los llanos de aridane,28.66,-17.92,75.2,73,40,13.87,ES,1592503158
encruzilhada do sul,-30.54,-52.52,67.6,84,85,13.6,BR,1592503159
kirakira,-10.45,161.92,79.25,85,14,9.82,SB,1592503159
meybod,32.25,54.02,96.8,9,20,6.93,IR,1592502911
paita,-5.09,-81.11,75.2,69,0,20.8,PE,1592503159
arlit,18.74,7.39,101.79,8,8,7.83,NE,1592503159
calama,-22.47,-68.93,73.4,4,85,6.93,CL,1592503159
linhares,-19.39,-40.07,76.82,69,36,5.7,BR,1592503160
duldurga,50.68,113.59,55.29,72,88,2.08,RU,1592503160
avera,33.19,-82.53,80.6,51,90,5.82,US,1592503160
lahat,-3.8,103.53,73.27,91,100,2.48,ID,1592503160
norfolk,42.17,-71.25,87.01,48,1,9.17,US,1592503054
carupano,10.67,-63.26,84.61,66,43,13.09,VE,1592503161
angoche,-16.23,39.91,72.68,83,0,9.04,MZ,1592503161
seara,41.18,-7.8,71.01,5,3,8.01,PT,1592503161
kysyl-syr,63.9,122.76,56.48,91,92,4.97,RU,1592503161
lompoc,34.64,-120.46,69.01,72,0,6.93,US,1592503132
dingle,11.0,122.67,76.3,92,100,5.75,PH,1592503161
erzin,36.96,36.2,75.0,82,10,10.0,TR,1592503161
nayoro,44.35,142.46,54.21,92,94,2.8,JP,1592503162
alpena,45.06,-83.43,84.2,39,1,4.7,US,1592503124
andenes,69.31,16.12,46.4,81,75,9.17,NO,1592503162
williams lake,52.14,-122.14,62.6,51,40,3.36,CA,1592503097
matara,5.95,80.54,80.31,90,92,6.91,LK,1592503162
henties bay,-22.12,14.28,72.81,38,0,10.16,NA,1592503163
kitimat,54.05,-128.65,55.0,91,100,1.5,CA,1592503130
asau,46.43,26.4,64.0,88,87,1.68,RO,1592503163
karaj,35.84,51.01,87.8,17,0,9.17,IR,1592502872
laguna,38.42,-121.42,86.0,27,1,4.7,US,1592502732
sagaing,21.88,95.98,80.58,68,95,14.54,MM,1592503164
dabeiba,7.0,-76.27,82.63,70,43,4.09,CO,1592503164
ostersund,63.18,14.64,73.4,46,40,11.41,SE,1592503164
imbituba,-28.24,-48.67,73.4,69,20,14.99,BR,1592503164
matias romero,16.88,-95.03,89.49,52,100,9.46,MX,1592503082
rewari,28.18,76.62,96.8,47,40,8.05,IN,1592503164
ternate,0.8,127.4,80.69,80,98,4.05,ID,1592502976
celestun,20.87,-90.4,86.88,63,2,6.42,MX,1592502906
falmouth,50.15,-5.07,60.01,87,100,14.99,GB,1592503165
atambua,-9.11,124.89,71.53,89,91,6.29,ID,1592503165
erenhot,43.65,111.98,69.58,49,0,8.1,CN,1592503165
sur,22.57,59.53,84.94,75,0,12.62,OM,1592503165
tagusao,9.19,117.81,80.64,79,82,4.59,PH,1592503165
pevek,69.7,170.31,40.06,72,0,10.02,RU,1592503166
okhotsk,59.38,143.3,43.75,95,52,4.03,RU,1592503166
sorrento,40.63,14.37,73.99,68,5,4.7,IT,1592503166
